,organisation,effectif
331,constituent assembly,6
332,terrorist organization,6
333,educational facility,6
334,broadcasting board,6
335,panel,6
336,organ of state,6
337,moroccan public institution,6
338,university in newfoundland and labrador,6
339,public institution directly under central committee of the chinese communist party,6
340,armed organization,6
341,sorority,6
342,sekolah menengah atas,6
343,financial regulatory agency,6
344,higher education institution in minsk,6
345,wikimedia list article,6
346,canadian superior court,6
347,bank,6
348,voluntary secondary school,5
349,wikimedia disambiguation page,5
350,yeshiva high school,5
351,youth organisation,5
352,former university,5
353,secret society,5
354,specialized agency of the united nations,5
355,q1810925,5
356,art academy,5
357,upper school,5
358,japanese combined junior and senior high school,5
359,junior school,5
360,organization established by the united nations,5
361,lebenscorps,5
362,legal person,5
363,higher federal authority,5
364,higher school in the empire of japan,5
365,fürstenschule,5
366,coeducational school,5
367,legislative term of the grand national assembly of bulgaria,5
368,criminal organization,5
369,central committee,5
370,ministry of norway,5
371,piarist school,5
372,united states court of appeals,5
373,comprehensive school,5
374,private association of the christian faithful,5
375,administrative agency in norway,5
376,combined school,5
377,political movement,5
378,polytechnic,5
379,hate group,5
380,bicameral legislature,5
381,yeshiva,5
382,voivodeship administrative court,5
383,academic gymnasium,4
384,upper house,4
385,catholic theological faculty,4
386,government commission,4
387,cegep,4
388,motor club,4
389,german state agency,4
390,golf course,4
391,research i university,4
392,company,4
393,human rights commission,4
394,castle,4
395,hanseatic city,4
396,hesder,4
397,herbarium,4
398,regulatory agency,4
399,hispanic-serving institution,4
400,government organization,4
401,school accreditor,4
402,law review,4
403,legislature,4
404,division of an educational institution,4
405,courthouse,4
406,largest city,4
407,nonprofit corporation,4
408,lower house,4
409,musical group,4
410,voluntary grammar and prep school,4
411,wing of the party,4
412,city-state,4
413,metropolis,4
414,military unit,4
415,university dormitory,4
416,committee,4
417,federated state,4
418,community school,4
419,international school,4
420,consejo,4
421,federal government,4
422,armed forces,4
423,israeli district court,4
424,einheitsgemeinde of germany,4
425,dyad,4
426,transport company,4
427,q129341528,4
428,private for-profit educational institution,4
429,manor house,4
430,state agency of the united states,4
431,council of state,4
432,unicameral legislature,4
433,unibuc faculty,4
434,law commission,4
435,group of universities and institutions (france),4
436,urban municipality in germany,4
437,award,4
438,national red cross and red crescent society,4
439,danish district court,4
440,defunct organization,4
441,resistance movement,3
442,cabinet,3
443,architectural ensemble,3
444,golf club,3
445,government administration,3
446,catholic organization,3
447,canadian appellate court,3
448,central bank,3
449,mosque,3
450,roman college,3
451,air force academy,3
452,aided school,3
453,administrative courts,3
454,university hospital,3
455,church building,3
456,parliamentary group,3
457,cathedral school,3
458,cantonal legislatures of switzerland,3
459,school district,3
460,religious military order,3
461,high council of state,3
462,choral group,3
463,christian organization,3
464,further education college,3
465,historic building,3
466,united states state court,3
467,consortium of universities in france,3
468,military branch,3
469,human settlement,3
470,federal law enforcement agency of the united states,3
471,social movement,3
472,membership organization,3
473,insurance company,3
474,senate of bremen,3
475,senate,3
476,sekolah tinggi,3
477,ministries of japan,3
478,ministry of agriculture,3
479,collège,3
480,colonial society,3
481,combination of undergraduate and graduate school,3
482,institut d'études politiques,3
483,institution,3
484,independent city in berlin,3
485,q66147543,3
486,periodical,3
487,hospitaller order,3
488,foreign intelligence service,3
489,seat of government,3
490,higher education and research cluster,3
491,higher education institution in the former exterior territories of japan,3
492,ministry of migration,3
493,college of administration,3
494,private club,3
495,mathematical society,3
496,state government of the united states,3
497,united states article iii court,3
498,q104645948,3
499,journalism school,3
500,japanese state institution,3
501,elected legislative house,3
502,cpsu body,3
503,credit institution,3
504,umbrella organization,3
505,landgericht,3
506,tribunal de grande instance,3
507,embassy,3
508,country club,3
509,federal capital,3
510,specialized court,3
511,spanish electoral administration,3
512,text publication society,3
513,kindergarten,3
514,not-for-profit arts organization,3
515,town divided by border,3
516,defunct government institution,3
517,department of the australian government,3
518,public office,3
519,division,3
520,basketball team,3
521,board of trade,3
522,ad-hoc tribunal,3
523,navy,3
524,botanical garden,3
525,wwii resistance group,3
526,wikimedia portal,3
527,vorfeldorganisation,3
528,atheneum,3
529,video game publisher,3
530,urban university,2
531,australian rules football league,2
532,zawiya,2
533,war memorial,2
534,german public state broadcaster,2
535,geographical society,2
536,national trade union center,2
537,national secondary school,2
538,männerbund,2
539,branch of service,2
540,bible society,2
541,bar association,2
542,novitiate,2
543,latin school,2
544,language society (17th an 18th century),2
545,trade union federation,2
546,defence ministry,2
547,cultural institution,2
548,lower secondary school,2
549,lobbyist,2
550,liceo classico,2
551,kantonsschule,2
552,district public prosecutors office,2
553,destroyed building or structure,2
554,subject of international law,2
555,study group,2
556,students' union,2
557,psychiatric hospital,2
558,legislative assembly,2
559,law school in south korea,2
560,law enforcement agency,2
561,public prosecutor's office,2
562,judiciary of russia,2
563,statutory corporation,2
564,state-owned enterprise of the united states,2
565,state-owned enterprise,2
566,laboratory,2
567,kirch,2
568,professional society,2
569,court of justice,2
570,court of cassation,2
571,privy council,2
572,major seminary,2
573,magnet school,2
574,special education school,2
575,fachhochschule,2
576,executive department of the philippines,2
577,south australian royal commission,2
578,state agency of north carolina,2
579,english country house,2
580,sports tribunal,2
581,sports organization,2
582,sports governing body,2
583,concern,2
584,country,2
585,corporate body of the european union,2
586,unified school district,2
587,congregational mosque,2
588,concours,2
589,port city,2
590,association football club,2
591,aspect of history,2
592,art group,2
593,army aviation component,2
594,army,2
595,human rights organization,2
596,islamist movement,2
597,international university,2
598,international sport governing body,2
599,men's college,2
600,men's association football team,2
601,clandestine center of detention and torture,2
602,fixed construction,2
603,field army,2
604,female seminary,2
605,federal service (russian federation),2
606,set,2
607,q61415303,2
608,q2701962,2
609,ies,2
610,political ideology,2
611,political coalition,2
612,agrégation,2
613,college of music,2
614,college of durham university,2
615,philosophical-theological university,2
616,personal prelature,2
617,ministry of the netherlands,2
618,ministry of labour,2
619,ministry of italy,2
620,security agency,2
621,former jesuit school,2
622,former hospital,2
623,scouting association,2
624,high school in the united states,2
625,house of representatives,2
626,house,2
627,historical cultural heritage site,2
628,radio station,2
629,quarter of niger,2
630,ministry of indonesia,2
631,parliamentary army,2
632,catholic order,2
633,city council,2
634,church archive,2
635,museum building,2
636,municipality of the state of palestine,2
637,municipal council,2
638,han,2
639,science secondary school,2
640,school grounds,2
641,school for the blind,2
642,gas station chain,2
643,gaelcholáiste,2
644,group,2
645,grand lodge,2
646,fund,2
647,free school,2
648,governing body,2
649,german school abroad,2
650,multinational corporation,2
651,multicampus university,2
652,monument,2
653,bundesministerium,2
654,upper house of u.s. state legislature,2
655,anti-corruption agency,2
656,non-partisan organization,2
657,non-ministerial government department,2
658,airline,2
659,order of chivalry,2
660,order,2
661,oberverwaltungsgericht,2
662,voluntary aided school,2
663,vocational school,2
664,academic archive,2
665,academic library,2
666,école normale supérieure,2
667,établissement public,1
668,academic journal,1
669,academies and institutes,1
670,wirtschaftsgymnasium,1
671,women's colleges in the southern united states,1
672,women's wing,1
673,world health organization collaborating centre,1
674,war crimes trial,1
675,welsh-medium school,1
676,wikimedia chapter,1
677,zilla school,1
678,zionist organization,1
679,blast furnace,1
680,barristers' chambers,1
681,canadian federal department,1
682,cadet corps,1
683,business college,1
684,bruk,1
685,upper division college,1
686,university of applied sciences (switzerland),1
687,university library,1
688,catholic parish church,1
689,catholic parish,1
690,cantonal court,1
691,cantonal authority,1
692,circuit court,1
693,christian denomination,1
694,charitable corporation,1
695,municipal corporation in the united states,1
696,mounted police,1
697,monument (spain),1
698,organization related to nonviolence,1
699,archipelagic state,1
700,appellate court of south korea,1
701,antifascist organization,1
702,anglican diocese,1
703,ancient city,1
704,anarchist organisation,1
705,national section of uea,1
