,uriOrg,labelOrg,typesOrg,orgMainType,tot_members_number
5382,http://www.wikidata.org/entity/Q72367204,Minsk city court,court,not classified organisation,1
963,http://www.wikidata.org/entity/Q1321803,Chiba University,national university,university,1
960,http://www.wikidata.org/entity/Q1321380,University of North Carolina at Greensboro,open-access publisher | public educational institution of the united states | university,university,1
957,http://www.wikidata.org/entity/Q131920715,Q131920715,primary school,educational institution,1
956,http://www.wikidata.org/entity/Q131824892,Q131824892,educational institution,educational institution,1
953,http://www.wikidata.org/entity/Q131626,Smithsonian Institution,institution | museum | nonprofit organization,scientific organisation,1
952,http://www.wikidata.org/entity/Q131479,Dominican Order,first order | mendicant order | organization,not classified organisation,1
951,http://www.wikidata.org/entity/Q13142918,Spiegel-Verlag,publishing company,company or gov. agency,1
5379,http://www.wikidata.org/entity/Q7235413,Pottsville High School,high school | public school,educational institution,1
5378,http://www.wikidata.org/entity/Q7232473,Portsmouth High School,girls' school | high school | independent school,educational institution,1
5377,http://www.wikidata.org/entity/Q7232466,Portsmouth Grammar School,school,educational institution,1
5376,http://www.wikidata.org/entity/Q7230874,Port Regis School,school,educational institution,1
5413,http://www.wikidata.org/entity/Q7270300,Queen Elizabeth's Grammar School,academy school | grammar school | secondary school,educational institution,1
5412,http://www.wikidata.org/entity/Q7270296,Queen Elizabeth's Grammar School,free school,educational institution,1
5409,http://www.wikidata.org/entity/Q7270097,Queen's Royal College,educational institution | public school,educational institution,1
5406,http://www.wikidata.org/entity/Q7269949,"Queen's College, Guyana",secondary school,educational institution,1
5405,http://www.wikidata.org/entity/Q7269775,Quebec High School,high school | school building,educational institution,1
5404,http://www.wikidata.org/entity/Q7267062,Qassim University,university,university,1
5402,http://www.wikidata.org/entity/Q7260270,Punjab Law College,law school,educational institution,1
5400,http://www.wikidata.org/entity/Q7257606,Public Service Commission,government commission,company or gov. agency,1
5399,http://www.wikidata.org/entity/Q7252783,Provo High School,high school | public school,educational institution,1
5398,http://www.wikidata.org/entity/Q7252765,Proviso West High School,high school,educational institution,1
5397,http://www.wikidata.org/entity/Q724759,NBCUniversal,enterprise | subsidiary,not classified organisation,1
5396,http://www.wikidata.org/entity/Q7245413,Prior Park College,boarding school | independent school | public school,educational institution,1
5395,http://www.wikidata.org/entity/Q7245134,Principia College,liberal arts college in the united states | private not-for-profit educational institution,educational institution,1
5391,http://www.wikidata.org/entity/Q7241589,Presque Isle High School,high school,educational institution,1
5390,http://www.wikidata.org/entity/Q7241246,President Theodore Roosevelt High School,high school,educational institution,1
5389,http://www.wikidata.org/entity/Q7240965,Presentation College Windsor,school,educational institution,1
5419,http://www.wikidata.org/entity/Q727516,University of KwaZulu-Natal,university,university,1
5418,http://www.wikidata.org/entity/Q7273801,R. L. Paschal High School,high school | school building,educational institution,1
5417,http://www.wikidata.org/entity/Q7270797,Queens Park Community School,academy school | secondary school,educational institution,1
5416,http://www.wikidata.org/entity/Q7270444,Queen Mary's Grammar School,academy school | boys' school | grammar school | secondary school,educational institution,1
5415,http://www.wikidata.org/entity/Q7270435,Queen Margaret College,boarding school | combined school | private school | secondary school,educational institution,1
5414,http://www.wikidata.org/entity/Q7270432,"Queen Margaret's School, York",boarding school | girls' school | independent school,educational institution,1
948,http://www.wikidata.org/entity/Q13139758,Lahore University of Management Sciences,university,university,1
947,http://www.wikidata.org/entity/Q131319388,Natural History Society of Denmark,association,not classified organisation,1
946,http://www.wikidata.org/entity/Q131308528,Rhodesian Civil Service,civil service,not classified organisation,1
943,http://www.wikidata.org/entity/Q131244301,Ny Gate,musical group,not classified organisation,1
941,http://www.wikidata.org/entity/Q13105008,Q13105008,organization,not classified organisation,1
940,http://www.wikidata.org/entity/Q1310244,Sankt-Ansgar-Schule,school,educational institution,1
939,http://www.wikidata.org/entity/Q1309998,University of Insubria,university,university,1
936,http://www.wikidata.org/entity/Q1307669,Einheit,periodical,company or gov. agency,1
935,http://www.wikidata.org/entity/Q1307615,Einhard-Gymnasium (Aachen),gymnasium in germany,educational institution,1
934,http://www.wikidata.org/entity/Q130740359,Ministry of the Promotion of Human Rights,ministry,not classified organisation,1
5443,http://www.wikidata.org/entity/Q7304679,Red Oak High School,high school,educational institution,1
5442,http://www.wikidata.org/entity/Q7303695,Red Bank Regional High School,high school,educational institution,1
5441,http://www.wikidata.org/entity/Q7297042,Rawls College of Business,business school,educational institution,1
5440,http://www.wikidata.org/entity/Q7297029,Rawlins High School,high school,educational institution,1
5438,http://www.wikidata.org/entity/Q7296529,Ravenshaw College,college,educational institution,1
5437,http://www.wikidata.org/entity/Q7296465,Ravenna High School,high school | public school,educational institution,1
5434,http://www.wikidata.org/entity/Q7293479,Ransom Everglades School,high school,educational institution,1
5431,http://www.wikidata.org/entity/Q7291803,Randolph College,college | private not-for-profit educational institution,educational institution,1
5430,http://www.wikidata.org/entity/Q7291776,Randolph-Macon Academy,school,educational institution,1
5429,http://www.wikidata.org/entity/Q72913,Helene Stöcker,human | person,not classified organisation,1
5426,http://www.wikidata.org/entity/Q7289144,Ramaz School,school,educational institution,1
5424,http://www.wikidata.org/entity/Q7286291,"Rajkumar College, Raipur",boarding school,educational institution,1
5423,http://www.wikidata.org/entity/Q7285984,Rajendra University,university,university,1
5422,http://www.wikidata.org/entity/Q7283234,Ragsdale High School,high school,educational institution,1
5421,http://www.wikidata.org/entity/Q7282577,Raffles Girls' School,school,educational institution,1
5420,http://www.wikidata.org/entity/Q7279655,Racine College,seminary | university building,university,1
5453,http://www.wikidata.org/entity/Q7314490,Republic of Korea Army College,military academy,educational institution,1
5452,http://www.wikidata.org/entity/Q7313393,Reno High School,high school,educational institution,1
5451,http://www.wikidata.org/entity/Q7310359,Reinhardt University,christian organization | private not-for-profit educational institution | university,university,1
5450,http://www.wikidata.org/entity/Q7310077,Reigate Grammar School,charitable organization | independent school | school,educational institution,1
5446,http://www.wikidata.org/entity/Q7306738,Reedley College,community college | public educational institution of the united states | university,university,1
932,http://www.wikidata.org/entity/Q1306915,Sōka University,academic publisher | university,university,1
927,http://www.wikidata.org/entity/Q130375908,Department of Māori Affairs,government agency,company or gov. agency,1
926,http://www.wikidata.org/entity/Q13027363,Amnuay Silpa School,school,educational institution,1
925,http://www.wikidata.org/entity/Q13025451,Thai Bar,organization,not classified organisation,1
924,http://www.wikidata.org/entity/Q1302525,Q1302525,panel,not classified organisation,1
922,http://www.wikidata.org/entity/Q1299701,Greifswalder Burschenschaft Rugia,burschenschaft,not classified organisation,1
921,http://www.wikidata.org/entity/Q12987047,Manipur High Court,appellate court,not classified organisation,1
920,http://www.wikidata.org/entity/Q1296452,Norwegian Academy,academy | language regulator | literary society,learned society,1
918,http://www.wikidata.org/entity/Q129169320,House of African Art,organization,not classified organisation,1
5445,http://www.wikidata.org/entity/Q7306694,Reed Smith,business | enterprise | law firm,company or gov. agency,1
5444,http://www.wikidata.org/entity/Q7305032,Red Shirts,paramilitary organization,not classified organisation,1
903,http://www.wikidata.org/entity/Q12840957,Ganja Men's Gymnasium,school,educational institution,1
902,http://www.wikidata.org/entity/Q12839677,Institute of Philosophy of ANAS,institute,research organisation,1
5474,http://www.wikidata.org/entity/Q7343840,Robert E. Lee High School,high school,educational institution,1
5469,http://www.wikidata.org/entity/Q7338580,Riverside Polytechnic High School,high school | public school,educational institution,1
5468,http://www.wikidata.org/entity/Q7338305,Rivers State University of Science and Technology,university,university,1
5467,http://www.wikidata.org/entity/Q7338301,Rivers School,school,educational institution,1
5465,http://www.wikidata.org/entity/Q7335148,Rio Americano High School,high school | public school,educational institution,1
5463,http://www.wikidata.org/entity/Q7330984,Richmond School,academy school | community school | secondary school,educational institution,1
5462,http://www.wikidata.org/entity/Q7330850,Richmond High School,high school,educational institution,1
5461,http://www.wikidata.org/entity/Q7330435,Richfield High School,high school,educational institution,1
5459,http://www.wikidata.org/entity/Q7329259,Stockton University,public educational institution of the united states | university,university,1
5458,http://www.wikidata.org/entity/Q7322281,Ribe Katedralskole,gymnasium,educational institution,1
5457,http://www.wikidata.org/entity/Q7321624,Rhyl High School,secondary school,educational institution,1
5456,http://www.wikidata.org/entity/Q7320968,Rhode Island Supreme Court,u.s. state supreme court,not classified organisation,1
5455,http://www.wikidata.org/entity/Q7320,Nazi Party,former political party | führerpartei | political party in germany,not classified organisation,1
5454,http://www.wikidata.org/entity/Q7314492,Republic of Korea Army Infantry School,military infantry school,educational institution,1
5484,http://www.wikidata.org/entity/Q7355649,Rockwall High School,high school,educational institution,1
5483,http://www.wikidata.org/entity/Q7355238,Rockford University,private not-for-profit educational institution | school,educational institution,1
5482,http://www.wikidata.org/entity/Q7352940,"Robins, Kaplan, Miller & Ciresi",business | law firm,company or gov. agency,1
5481,http://www.wikidata.org/entity/Q7351996,Roberts Commission,government commission,company or gov. agency,1
