,typesOrg,number,numberOrg
701,open-access publisher | pontifical university | private educational institution | private not-for-profit educational institution | university,4,5
702,open-access publisher | police academy | public university | publishing company,4,4
703,cegep | high school,4,2
704,parliament,4,1
705,panel,4,1
706,organization | school accreditor,4,2
707,organization | regulatory college,4,2
708,organization | public university | research university | university,4,4
709,building | military school,4,2
710,educational organization | higher education institution | organization | public research university,4,4
711,boarding school | college | independent school,4,3
712,educational institution | school | university-preparatory school,4,3
713,private not-for-profit educational institution | seminary,4,2
714,private not-for-profit educational institution | private university | publishing company,4,3
715,primary school | private school,4,2
716,preparatory school,4,1
717,position,4,1
718,political faction | wing of the party,4,2
719,building | comprehensive school | upper secondary school in finland,4,3
720,private university | university,4,2
721,public school | upper secondary school in norway,4,2
722,business school | higher education institution | public educational institution of the united states,4,3
723,burschenschaft | organization,4,2
724,state university system | university,4,2
725,secondary school | state-integrated school,4,2
726,research university | university,4,2
727,research institute | wikimedia list article,4,2
728,academic publisher | national university | research university,4,3
729,educational institution | high school,4,2
730,educational institution | faculty of law,4,2
731,boarding school | girls' school | independent school,4,3
732,writers union,4,1
733,university in ontario,4,1
734,yeshiva high school,4,1
735,academic institution | university college,3,2
736,high school | open-access publisher | private not-for-profit educational institution | private university | research university,3,5
737,gymnasium in germany | school,3,2
738,gymnasium in germany | humanistic gymnasium,3,2
739,higher education institution in the former exterior territories of japan | imperial universities of japan,3,2
740,academic publisher | colleges that change lives | liberal arts college in the united states | private not-for-profit educational institution,3,4
741,spanish electoral administration,3,1
742,business school | faculty | organization,3,3
743,burschenschaft | q1810925,3,2
744,burschenschaft | nonprofit organization,3,2
745,burschenschaft | german student corps,3,2
746,college | state public university,3,2
747,college | private not-for-profit educational institution | school,3,3
748,college | liberal arts college | private not-for-profit educational institution,3,3
749,higher education institution | open-access publisher | private educational institution | university,3,4
750,grammar school | high school,3,2
751,hispanic-serving institution | public educational institution of the united states | public university,3,3
752,honor society,3,1
753,institute of technology | local internet registry | public research university | university of excellence,3,4
754,regulatory college,3,1
755,business | enterprise | public company,3,3
756,school district,3,1
757,independent school | school,3,2
758,institute of technology | public research university | university of excellence,3,3
759,institute of technology | polytechnic | public university | video game publisher,3,4
760,combination of undergraduate and graduate school,3,1
761,atheneum | public school,3,2
762,building complex | gymnasium,3,2
763,international organization | specialized agency of the united nations,3,2
764,boarding school | boys' school | catholic school | independent school,3,4
765,board of trade | not-for-profit arts organization,3,2
766,big city | city-state | einheitsgemeinde of germany | federal capital | federated state of germany | hanseatic city | independent city in berlin | largest city | metropolis | seat of government | town divided by border | urban municipality in germany,3,12
767,bicameral legislature,3,1
768,basketball team | community college | public educational institution of the united states,3,3
769,international organization,3,1
770,q104645948,3,1
771,academy of sciences | award,3,2
772,business | enterprise | law firm,3,3
773,q66147543,3,1
774,resistance movement,3,1
775,department of the united kingdom government | foreign affairs ministry | government agency,3,3
776,international court | trial court,3,2
777,intergovernmental organization | tribunal,3,2
778,golf club | golf course,3,2
779,girls' school | secondary school,3,2
780,girls' school | independent school,3,2
781,government agency | government body of australia | law commission,3,3
782,government agency | government body of australia | human rights commission,3,3
783,collection | open-access publisher | university in british columbia,3,3
784,japanese state institution | supreme court,3,2
785,islamic university | open-access publisher | university,3,3
786,cabinet,3,1
787,academy of sciences | national academy | open-access publisher,3,3
788,academy of sciences | educational institution | research institute,3,3
789,canadian appellate court,3,1
790,campus university | public educational institution of the united states,3,2
791,labor union,3,1
792,labor court | specialized court,3,2
793,justice ministry | ministry of norway,3,2
794,church college | university,3,2
795,church college | private university,3,2
796,church college | private not-for-profit educational institution | school,3,3
797,language regulator | learned society | national academy,3,3
798,foundation,3,1
799,former educational institution | university in france,3,2
800,german state agency | justice ministry,3,2
801,landgericht,3,1
802,catholic school | gymnasium | piarist school,3,3
803,cathedral school | gymnasium,3,2
804,division,3,1
805,collection | liberal arts college | private not-for-profit educational institution,3,3
806,church college | historic district | private not-for-profit educational institution,3,3
807,church college | educational institution | private not-for-profit educational institution,3,3
808,church college | college | private not-for-profit educational institution,3,3
809,christian school | private not-for-profit educational institution | private university,3,3
810,community college,3,1
811,learned society | publishing company,3,2
812,law school | private for-profit educational institution,3,2
813,local internet registry | public university,3,2
814,federated state of germany,3,1
815,foreign intelligence service | independent agency of the united states government,3,2
816,liberal arts college in the united states,3,1
817,choral group | studentenverbindung,3,2
818,academy of sciences | organization | public research university,3,3
819,dyad,3,1
820,boarding school | high school | private school,3,3
821,private school | school,3,2
822,magazine | political organization,3,2
823,lycée,3,1
824,federal law enforcement agency of the united states | intelligence agency | united states federal agency,3,3
825,foreign affairs ministry | government agency | united states federal executive department,3,3
826,appellate court | high court,3,2
827,military academy | national defense university | school,3,3
828,military academy | military school,3,2
829,middle school,3,1
830,moroccan public institution | open-access publisher | university,3,3
831,charitable organization | day school | independent school,3,3
832,central committee | cpsu body,3,2
833,academy school | school | secondary school,3,3
834,academy school | grammar school | secondary school,3,3
835,educational institution | national research university | open-access publisher | public university,3,4
836,consortium of universities in france | higher education and research cluster,3,2
837,boarding school | private school,3,2
838,census-designated place in the united states | open-access publisher | private not-for-profit educational institution | private university,3,4
839,national research university | open-access publisher,3,2
840,botanical garden | private not-for-profit educational institution | university,3,3
841,boarding school | voluntary secondary school,3,2
842,boarding school | secondary school | university-preparatory school,3,3
843,boarding school | catholic school | independent school,3,3
844,non-governmental organization | nonprofit corporation | nonprofit organization,3,3
845,non-governmental organization,3,1
846,navy,3,1
847,nonprofit organization | public university,3,2
848,nonprofit organization | open-access publisher | public university | university college,3,4
849,catholic university | college | jesuit school,3,3
850,organization | school,3,2
851,parliamentary group,3,1
852,paramilitary organization,3,1
853,catholic university | jesuit university | organization | university,3,4
854,catholic university | jesuit university | open-access publisher | pontifical university,3,4
855,affiliated school | collegiate university,3,2
856,educational organization | higher education institution | private university,3,3
857,ad-hoc tribunal | international court,3,2
858,open-access publisher | public educational institution | public university | publishing company,3,4
859,open-access publisher | public educational institution | public university,3,3
860,open-access publisher | private university | university,3,3
861,educational organization | higher education institution | open-access publisher | organization | public university,3,5
862,open-access publisher | public research university | public university,3,3
863,administrative courts,3,1
864,united states federal agency,3,1
865,women's college in the united states,3,1
866,corporation | museum | open-access publisher | university in ontario,3,4
867,heritage site | high school,3,2
868,state government,3,1
869,staff college,3,1
870,tribunal de grande instance,3,1
871,supreme court | united states article iii court | wikimedia portal,3,3
872,business school | publishing company,3,2
873,academic institution | nonprofit organization,2,2
874,zawiya,2,1
875,urban school,2,1
876,business school | university in quebec,2,2
877,superior court | trial court,2,2
878,unicameral legislature,2,1
879,voluntary secondary school,2,1
880,think tank,2,1
881,transport company,2,1
882,tribunal,2,1
883,sports tribunal,2,1
884,state agency of north carolina | state university system,2,2
885,high school | science secondary school,2,2
886,academic publisher | catholic university | private university,2,3
887,academic publisher | catholic university | multicampus university | private not-for-profit educational institution | private university,2,5
888,south australian royal commission,2,1
889,social movement,2,1
890,social club | women's organization,2,2
891,senate | upper house of u.s. state legislature,2,2
892,senate of bremen,2,1
893,business school | church college | private not-for-profit educational institution,2,3
894,court | judiciary of russia,2,2
895,"burschenschaft | studentenverbindung, catholic",2,2
896,college | university,2,2
897,college | organization,2,2
898,college | men's college | private not-for-profit educational institution,2,3
899,college | historic district | private not-for-profit educational institution,2,3
900,higher education institution | open-access publisher | private not-for-profit educational institution,2,3
901,catholic university | jesuit university | open-access publisher | organization | pontifical university | university,2,6
902,oberverwaltungsgericht,2,1
903,anti-corruption agency,2,1
904,eingetragener verein,2,1
905,educational organization | higher education institution | open-access publisher | public research university | university,2,5
906,boarding school | day school | preparatory school,2,3
907,boarding school | day school | nonprofit organization | secondary school,2,4
908,advocacy group | organization,2,2
909,open-access publisher | private educational institution | private not-for-profit educational institution | university,2,4
910,open-access publisher | pontifical university | private not-for-profit educational institution,2,3
911,open-access publisher,2,1
912,academy | voluntary association,2,2
913,open-access publisher | public educational institution of the united states | public research university | set,2,4
914,aided school | high school | higher secondary school,2,3
915,agrégation | concours,2,2
916,educational institution | think tank,2,2
917,boys' high school | high school | secondary school,2,3
918,nonprofit organization | publishing company,2,2
919,non-ministerial government department | supreme court,2,2
920,catholic university | pontifical university | private university,2,3
921,building | high school | school,2,3
922,building | gymnasium,2,2
923,organization | student society,2,2
924,organization | social club,2,2
925,organization | professional association,2,2
926,organization | private not-for-profit educational institution | university,2,3
927,boarding school | organization,2,2
928,boarding school | independent school | war memorial,2,3
929,boarding school | day school | independent school,2,3
930,boarding school | combined school | private school | secondary school,2,4
931,organization | women's organization,2,2
932,academy | organization,2,2
933,museum,2,1
934,multinational corporation | public company,2,2
935,non-governmental organization | nonprofit organization | scouting association | youth organisation,2,4
936,boarding school | private school | secondary school | state-integrated school,2,4
937,non-governmental organization | nonprofit organization,2,2
938,naval academy | staff college | university campus,2,3
939,naval academy | public educational institution of the united states | university campus,2,3
940,nonprofit organization | think tank,2,2
941,nonprofit organization | studentenverbindung,2,2
942,nonprofit organization | regulatory college,2,2
943,english country house | public school,2,2
944,engineering college | private not-for-profit educational institution | university,2,3
945,engineering college | faculty,2,2
946,engineering college,2,1
947,embassy,2,1
948,executive branch | federal government,2,2
949,executive branch | institution of the european union,2,2
950,central committee,2,1
951,central bank,2,1
952,census-designated place in the united states | public educational institution of the united states | university,2,3
953,academy | open-access publisher | public university,2,3
954,academy | historical society,2,2
955,academy | archive | publishing company,2,3
956,academy school | girls' school | secondary school,2,3
957,personal prelature,2,1
958,periodical,2,1
959,educational institution | house | library,2,3
960,educational institution | grand établissement,2,2
961,conservatory,2,1
962,catholic seminary | private not-for-profit educational institution,2,2
963,catholic seminary | major seminary | roman college,2,3
964,motor club,2,1
965,membership organization | non-partisan organization,2,2
966,architectural landmark | educational institution | mosque,2,3
967,federal government,2,1
968,federal courts (germany) | labor court | supreme court,2,3
969,faculty | medical school,2,2
970,faculty | graduate school | higher education institution | law school,2,4
971,foreign affairs ministry | ministries of japan,2,2
972,architectural heritage monument | courthouse,2,2
973,architectural ensemble | boarding school | charitable organization | educational institution | independent school | school building,2,6
974,appellate court | superior court,2,2
975,middle school | school,2,2
976,moroccan public institution | university,2,2
977,charitable organization | college of the university of oxford | university building,2,3
978,charitable organization | college,2,2
979,executive branch | state government of the united states,2,2
980,executive branch | legislature | municipal council | municipality of the state of palestine,2,4
981,legislative assembly | legislative term,2,2
982,charitable organization | learned society,2,2
983,mathematical society,2,1
984,catholic seminary | catholic university | college | novitiate,2,4
985,police academy,2,1
986,primary school | school | secondary school,2,3
987,political organization | students' union,2,2
988,political movement,2,1
989,academy of sciences | statutory corporation,2,2
990,academy of sciences | organization,2,2
991,private university | publishing company,2,2
992,educational facility,2,1
993,educational institution | private not-for-profit educational institution | university,2,3
994,private school | school grounds,2,2
995,private not-for-profit educational institution | seminary | university building,2,3
996,lower secondary school,2,1
997,architectural structure | secondary school,2,2
998,architectural structure | educational institution | kantonsschule | school building,2,4
999,law firm | nonprofit organization,2,2
1000,church college | college | girls' school | private not-for-profit educational institution,2,4
1001,church archive | library,2,2
1002,christian school | private university | research university,2,3
1003,charitable organization | geographical society | national academy | scientific society,2,4
1004,fund | nonprofit organization,2,2
1005,law school | university,2,2
1006,law school | open-access publisher,2,2
1007,local internet registry | public university | university of excellence,2,3
1008,liceo classico,2,1
1009,field army,2,1
1010,female seminary,2,1
1011,boarding school | private school | school,2,3
1012,company,2,1
1013,former educational institution | school,2,2
1014,girls' high school | private school,2,2
1015,girls' high school | high school,2,2
1016,private educational institution | university,2,2
1017,private educational institution | private not-for-profit educational institution | university,2,3
1018,private club | social club,2,2
1019,catholic school | gymnasium | university dormitory,2,3
1020,catholic school | former hospital,2,2
1021,catholic organization | religious organization,2,2
1022,catholic order | hospitaller order | religious military order | subject of international law,2,4
1023,cantonal legislatures of switzerland,2,1
1024,public educational institution of the united states | public university | university,2,3
1025,division of an educational institution | law school,2,2
1026,division of an educational institution,2,1
1027,district public prosecutors office,2,1
1028,professional society,2,1
1029,judicial council | q129341528,2,2
1030,journalism school,2,1
1031,jesuit university | university,2,2
1032,jesuit university | open-access publisher | pontifical university,2,3
1033,boys' school | jesuit school | private not-for-profit educational institution | secondary school,2,4
1034,armed forces,2,1
1035,fürstenschule | gymnasium in germany,2,2
1036,government administration | government agency,2,2
1037,korporationsverband | studentenverbindung,2,2
1038,kirch,2,1
1039,juvenile political organization | vorfeldorganisation,2,2
1040,civil service,2,1
1041,city council,2,1
1042,army,2,1
1043,armed forces | parliamentary army,2,2
1044,former jesuit school | museum building,2,2
1045,girls' school | high school | public school,2,3
1046,islamic university | publishing company,2,2
1047,international sport governing body | non-governmental organization | nonprofit organization,2,3
1048,privy council,2,1
1049,academy school | girls' school | grammar school | secondary school,2,4
1050,academy school | boys' school | secondary school,2,3
1051,public educational institution of the united states | university campus,2,2
1052,public educational institution of the united states | sea grant institution | university,2,3
1053,academy of sciences | building | language regulator | open-access publisher,2,4
1054,q2701962,2,1
1055,department of the australian government,2,1
1056,defunct government institution | government agency,2,2
1057,boarding school | fürstenschule | gymnasium in germany,2,3
1058,q1265246 | voluntary association,2,2
1059,international school | secondary school,2,2
1060,judiciary | organization,2,2
1061,government agency | interior ministry | ministry of migration | united states federal executive department,2,4
1062,committee,2,1
1063,international organization | islamist movement | political party | religious organization,2,4
1064,public university | university of applied sciences,2,2
1065,public university | state university system | urban university,2,3
1066,business | enterprise | law firm | lobbyist | organization,2,5
1067,quarter of niger | university,2,2
1068,q61415303,2,1
1069,constitutional court | federal courts (germany) | supreme court,2,3
1070,constituent college | educational organization | higher education institution | organization | public research university | university,2,6
1071,religious school,2,1
1072,academic publisher | private university | research university,2,3
1073,academic publisher | national university | university | women's college,2,4
1074,intergovernmental organization | specialized agency of the united nations,2,2
1075,college of durham university,2,1
1076,girls' school | school,2,2
1077,institute of technology,2,1
1078,independent agency of the united states government,2,1
1079,ies,2,1
1080,art group,2,1
1081,institute of technology | private not-for-profit educational institution,2,2
1082,intelligence agency | military unit,2,2
1083,intelligence agency | military branch,2,2
1084,combined school | primary school,2,2
1085,collège | high school | primary school,2,3
1086,association football club | men's association football team,2,2
1087,aspect of history,2,1
1088,intergovernmental organization,2,1
1089,college | high school,2,2
1090,college | educational institution,2,2
1091,boys' school | public school | secondary school,2,3
1092,bible society | charitable organization,2,2
1093,grand établissement | open-access publisher | university,2,3
1094,historically black college or university | private not-for-profit educational institution | university campus,2,3
1095,historical cultural heritage site | residential college,2,2
1096,academic publisher | language school | national university | university,2,4
1097,schülerverbindung,2,1
1098,school | women's college,2,2
1099,school building,2,1
1100,seminary | university building,2,2
1101,sekolah tinggi,2,1
1102,secret society,2,1
1103,czech research institution | open-access publisher | public university | publishing company,2,4
1104,cultural heritage | school building | secondary school,2,3
1105,corporate body of the european union | international university | open-access publisher | research institute,2,4
1106,secondary school | university campus,2,2
1107,scientific society | voluntary association,2,2
1108,academic publisher | government agency | ministry of agriculture | united states federal agency | united states federal executive department,2,5
1109,grammar school | private school,2,2
1110,graduate school | law school | law school in south korea,2,3
1111,gymnasium | high school | school,2,3
1112,historic district | historically black college or university | private not-for-profit educational institution,2,3
1113,historic district,2,1
1114,higher secondary school,2,1
1115,higher federal authority | national defense university | public university,2,3
1116,higher federal authority | military school | public university,2,3
1117,higher education institution | school building,2,2
1118,higher education institution | research institute,2,2
1119,hospital | medical school | university hospital,2,3
1120,government agency | state agency of the united states,2,2
1121,government agency | ministry of labour | united states federal executive department,2,3
1122,government agency | judiciary,2,2
1123,government agency | interior ministry | united states federal executive department,2,3
1124,grand établissement | public university,2,2
1125,boys' school | clandestine center of detention and torture | high school | lyceum,2,4
1126,academic institution | organization,2,2
1127,academic institution | organization | research institute,2,3
1128,academic institution | philosophical-theological university,2,2
1129,academic archive | academy of sciences | archive | language society (17th an 18th century) | learned society | national academy,2,6
1130,boys' school | charitable organization | independent school,2,3
1131,boys' school | catholic school | private school,2,3
1132,australian rules football league,2,1
1133,high school | public educational institution of the united states | university campus,2,3
1134,high school | primary school | school | secondary school,2,4
1135,gymnasium | gymnasium in germany | humanistic gymnasium,2,3
1136,gymnasium in germany | humanistic gymnasium | school building,2,3
1137,group | university system,2,2
1138,high school | jesuit school | private school | school,2,4
1139,high school | independent school,2,2
1140,high school in the united states,2,1
1141,eingetragener verein | veterans' organization,2,2
1142,eingetragener verein | männerbund | q1265246 | q1810925 | studentenverbindung,2,5
1143,open-access publisher | university in france,2,2
1144,open-access publisher | public research university | university in france,2,3
1145,administrative court | high council of state | supreme court,2,3
1146,academic library | archive | open-access publisher | public educational institution | public university | university,2,6
1147,building | open-access publisher | university,2,3
1148,academic institution | faculty | organization,2,3
1149,bundesministerium | justice ministry,2,2
1150,building | university,2,2
1151,country club,2,1
1152,high school in south korea | private school,2,2
1153,high court of japan,2,1
1154,han,2,1
1155,boys' school | high school,2,2
1156,boys' school | coeducational school | heritage site | unified school district,2,4
1157,zilla school,1,1
1158,academic institution | secondary school,1,2
1159,academic journal | magazine,1,2
1160,academic publisher | academy,1,2
1161,united states state court,1,1
1162,building | public educational institution of the united states | university,1,3
1163,subcommittee,1,1
1164,summary court,1,1
1165,syndicate,1,1
1166,television program,1,1
1167,television station,1,1
1168,court | organization,1,2
1169,court | superior court,1,2
1170,court | tribunal,1,2
1171,court-martial | supreme court,1,2
1172,courthouse,1,1
1173,tribunal judiciaire,1,1
1174,truth and reconciliation commission,1,1
1175,turnerschaft,1,1
1176,umbrella organization,1,1
1177,un fact-finding mission,1,1
1178,united states article iv court | united states territorial court,1,2
1179,bank | business,1,2
1180,bank | business | credit institution | public company,1,4
1181,bank | business | public company,1,3
1182,high school | lyceum,1,2
1183,high school | magnet school,1,2
1184,high school | national secondary school,1,2
1185,boys' school | catholic school | secondary school | voluntary aided school,1,4
1186,boys' school | charitable organization | independent school | school,1,4
1187,boys' school | community school | grammar school | secondary school,1,4
1188,boys' school | foundation school | grammar school | secondary school,1,4
1189,boys' school | free school | grammar school | secondary school,1,4
1190,boys' school | grammar school,1,2
1191,boys' school | grammar school | independent school,1,3
1192,han school,1,1
1193,handel society,1,1
1194,heritage site | high school | selective school,1,3
1195,gymnasium in germany | school | secondary school,1,3
1196,higher education institution | higher education institution directly under ministry of education of the people’s republic of china | university | vice-ministerial level university,1,4
1197,higher education institution | institute of technology | public university | university,1,4
1198,higher education institution | institute | open-access publisher | public university,1,4
1199,higher education institution | ministry-owned university | university,1,3
1200,higher education institution | naval academy,1,2
1201,colleges that change lives | liberal arts college in the united states | private not-for-profit educational institution | women's colleges in the southern united states,1,4
1202,high school | primary school,1,2
1203,high school | primary school | secondary school,1,3
1204,high school | private school | religious school,1,3
1205,high school | public school | secondary school,1,3
1206,high school | school | secondary school,1,3
1207,automobile manufacturer | business | enterprise | organization | public company,1,5
1208,autonomous university | university in quebec,1,2
1209,award,1,1
1210,bachelor's degree,1,1
1211,bank | business | state-owned enterprise of the united states,1,3
1212,bank | concern | public company | stock exchange,1,4
1213,bank | trust company,1,2
1214,bar association,1,1
1215,bar association | government agency,1,2
1216,barristers' chambers | law firm,1,2
1217,higher education institution directly under ministry of education of the people’s republic of china | language school | university,1,3
1218,higher education institution directly under ministry of education of the people’s republic of china | public research university | vice-ministerial level university,1,3
1219,higher education institution directly under ministry of education of the people’s republic of china | public university,1,2
1220,high school | historic district,1,2
1221,high school | human settlement,1,2
1222,grande école | military academy,1,2
1223,group of humans,1,1
1224,gymnasium (bavaria) | q1981640 | q2782287 | wirtschaftsgymnasium,1,4
1225,gymnasium in germany | q1299593,1,2
1226,gymnasium in germany | school building,1,2
1227,grammar school | school,1,2
1228,grand lodge,1,1
1229,grand lodge | organization,1,2
1230,grand établissement | grande école,1,2
1231,historic district | liberal arts college in the united states,1,2
1232,historic district | private not-for-profit educational institution,1,2
1233,historic district | seminary,1,2
1234,historic district | university campus,1,2
1235,historical commission for eastern europe,1,1
1236,higher education institution | private educational institution | private not-for-profit educational institution,1,3
1237,higher education institution | private educational institution | university,1,3
1238,higher education institution | private not-for-profit educational institution,1,2
1239,college | private not-for-profit educational institution | women's college,1,3
1240,college | publishing company,1,2
1241,boys' school | catholic school | comprehensive school | voluntary aided school,1,4
1242,boys' school | catholic school | independent school | university-preparatory school,1,4
1243,government organization,1,1
1244,hospital | medical university | public university,1,3
1245,hospital | university hospital,1,2
1246,hospitaller order | religious military order,1,2
1247,house of commons,1,1
1248,higher education institution | private university | school,1,3
1249,hispanic-serving institution | private not-for-profit educational institution | university,1,3
1250,historic building | palazzo | university college,1,3
1251,gymnasium | historic building,1,2
1252,gymnasium | latin school | realschule,1,3
1253,gymnasium | school,1,2
1254,gymnasium | vocational school,1,2
1255,grade of an order,1,1
1256,graduate school | private not-for-profit educational institution,1,2
1257,graduate university | national university | university,1,3
1258,graduating class,1,1
1259,historical society | institute | nonprofit organization,1,3
1260,historical society | learned society | nonprofit organization | trade union federation,1,4
1261,historical society | museum | nonprofit organization | state archives | trustee,1,5
1262,historical society | organization,1,2
1263,historical society | text publication society,1,2
1264,historically black college or university | private not-for-profit educational institution | school,1,3
1265,hospital,1,1
1266,grande école | higher education institution | institut d'études politiques,1,3
1267,grande école | higher education institution | école normale supérieure,1,3
1268,grande école | institut d'études politiques,1,2
1269,government agency | licensing board | regulatory agency,1,3
1270,government agency | minister,1,2
1271,government agency | united states district court,1,2
1272,government agency | united states federal agency,1,2
1273,government body of australia | statutory authority,1,2
1274,government of the federal republic of germany,1,1
1275,art academy | grande école | higher education institution | open-access publisher,1,4
1276,art academy | music school,1,2
1277,art academy | private not-for-profit educational institution,1,2
1278,art collection | literary society,1,2
1279,house of lords,1,1
1280,house of representatives | lower house of u.s. state legislature,1,2
1281,human rights organization | organization | umbrella organization,1,3
1282,human settlement,1,1
1283,human settlement | private not-for-profit educational institution | women's college,1,3
1284,humanistic gymnasium | school building,1,2
1285,imperial university of the russian empire | university,1,2
1286,incorporated society | organization,1,2
1287,independent agency of the united states government | regulatory agency,1,2
1288,independent agency of the united states government | state-owned enterprise of the united states,1,2
1289,institut d'études politiques,1,1
1290,historical country | princely state,1,2
1291,collegiate university | nonprofit organization | university system,1,3
1292,collège | kindergarten | primary school | secondary school,1,4
1293,colonial society | company,1,2
1294,colonial society | organization | voluntary association,1,3
1295,combined school | private school | secondary school,1,3
1296,insurance broker | motor club | private security company | roadside assistance | travel agency,1,5
1297,insurance company | public company,1,2
1298,intelligence agency | training organization,1,2
1299,institute of technology | national university | university,1,3
1300,institute of technology | public university | university,1,3
1301,institute of technology | research university,1,2
1302,institute | private university | sekolah tinggi,1,3
1303,institute | research institute,1,2
1304,institute | school,1,2
1305,institution | international organization,1,2
1306,institution | museum | nonprofit organization,1,3
1307,arts association | arts venue,1,2
1308,arts educational institution,1,1
1309,association under the french law of 1901 | professional association,1,2
1310,association | membership organization | organization,1,3
1311,association | nonprofit organization,1,2
1312,association | organization | think tank,1,3
1313,athenaeum,1,1
1314,institutions of constitutional importance | judicial council,1,2
1315,government organization | public prosecutor's office,1,2
1316,government program,1,1
1317,government | government organization | organization,1,3
1318,government | state government of the united states,1,2
1319,governor-general | position,1,2
1320,government agency | independent agency of the united states government,1,2
1321,colleges that change lives | liberal arts college | public educational institution of the united states,1,3
1322,collegiate secret societies in north america | fraternity | secret society,1,3
1323,blast furnace | bruk,1,2
1324,international organization | learned society | nonprofit organization | think tank,1,4
1325,international organization | non-governmental organization,1,2
1326,international organization | organization | professional association | women's organization,1,4
1327,international organization | religious organization,1,2
1328,intentional community | liberal arts college,1,2
1329,branch of service | military organization | military unit,1,3
1330,branch of service | military unit branch-type class | united states army formation | united states special operations forces,1,4
1331,brickworks,1,1
1332,broadcasting authority | government body of australia,1,2
1333,building complex | higher education institution | military academy,1,3
1334,building complex | university,1,2
1335,college | community college | educational institution | public educational institution of the united states | school | university campus,1,6
1336,college | educational organization | higher education institution | organization | university,1,5
1337,college | educational organization | higher education institution | public university,1,4
1338,college | further education college,1,2
1339,college of administration | educational institution | public educational institution | public university | university of applied sciences,1,5
1340,college of administration | police college | public educational institution | university of applied sciences,1,4
1341,college of administration | public educational institution | university of applied sciences,1,3
1342,intergovernmental organization | public research university | university,1,3
1343,interior ministry | ministry of poland,1,2
1344,intermediate appellate court | supreme court | trial court | united states state court,1,4
1345,international court | war crimes trial,1,2
1346,international non-governmental organization | international organization | nonprofit organization,1,3
1347,international non-governmental organization | jewish organization | nonprofit organization,1,3
1348,comedy troupe,1,1
1349,commission of inquiry,1,1
1350,commission | consultant | institution,1,3
1351,bicameral legislature | legislature of a u.s. state,1,2
1352,bicameral legislature | parliament,1,2
1353,big city | city-state | einheitsgemeinde of germany | federated state of germany | free imperial city | hanseatic city | metropolis | port city | urban district of hamburg | urban municipality in germany,1,10
1354,big city | commune of france,1,2
1355,justice ministry | ministry of finland,1,2
1356,israeli government ministry | justice ministry,1,2
1357,jesuit school | school,1,2
1358,collection | organization | trust,1,3
1359,college athletic conference,1,1
1360,college for advanced studies,1,1
1361,government agency | government body of australia | position,1,3
1362,government agency | government body of australia | prosecutor,1,3
1363,government agency | housing ministry,1,2
1364,girls' school | high school | independent school,1,3
1365,girls' school | higher secondary school | urban school,1,3
1366,girls' school | independent school | school | school building,1,4
1367,girls' school | independent school | secondary school,1,3
1368,golf course,1,1
1369,gorsedd,1,1
1370,college in france,1,1
1371,german public state broadcaster | local internet registry,1,2
1372,german public state broadcaster | production company,1,2
1373,german school abroad,1,1
1374,archive | institute | museum,1,3
1375,archive | national archives,1,2
1376,archive | open-access publisher | public university,1,3
1377,archive | printing company | state-owned enterprise,1,3
1378,college of music | conservatory | private not-for-profit educational institution | university building,1,4
1379,boys' school | private school,1,2
1380,boys' school | public school,1,2
1381,jesuit school | university-preparatory school,1,2
1382,jesuit university | liberal arts college | private university | research university,1,4
1383,jesuit university | open-access publisher | private university,1,3
1384,judenrat,1,1
1385,judiciary | military organization,1,2
1386,justice ministry | ministry,1,2
1387,justice ministry | ministry of italy,1,2
1388,justice ministry | ministry of the netherlands,1,2
1389,justice ministry | state agency of the united states,1,2
1390,kriegsakademie | military academy,1,2
1391,labor union | non-governmental organization | nonprofit organization,1,3
1392,governing body,1,1
1393,governing body | organization,1,2
1394,government,1,1
1395,government administration,1,1
1396,fürstenschule | school,1,2
1397,gaelcholáiste,1,1
1398,gaelcholáiste | nonprofit organization,1,2
1399,galician political party,1,1
1400,general education liceum | gymnasium,1,2
1401,general staff,1,1
1402,gentlemen's club | social club,1,2
1403,former political party | führerpartei | political party in germany,1,3
1404,foundation | human rights organization | nonprofit organization | research center,1,4
1405,foundation | nonprofit organization,1,2
1406,language school | military school,1,2
1407,language school | university,1,2
1408,latin school,1,1
1409,law commission | public organisation in hong kong,1,2
1410,armed organization | political ideology | political movement,1,3
1411,army aviation component | corps,1,2
1412,art academy,1,1
1413,church college | public university,1,2
1414,circuit court,1,1
1415,city in the united states | county seat,1,2
1416,civil decoration | order,1,2
1417,club | learned society,1,2
1418,coast guard,1,1
1419,archive | higher education institution | library,1,3
1420,art academy | educational institution,1,2
1421,laboratory,1,1
1422,laboratory | university,1,2
1423,land court,1,1
1424,land-grant university | public educational institution of the united states | university campus,1,3
1425,land-grant university | university,1,2
1426,landeskirche,1,1
1427,landtag,1,1
1428,language regulator | learned society,1,2
1429,german school abroad | high school | international school | private school,1,4
1430,girls' high school | high school in south korea,1,2
1431,foreigners' school,1,1
1432,former educational institution,1,1
1433,former educational institution | grammar school,1,2
1434,former entity | panel,1,2
1435,christian school | liberal arts college in the united states | private not-for-profit educational institution,1,3
1436,christian school | private not-for-profit educational institution | university,1,3
1437,church college | college of music,1,2
1438,church college | educational institution,1,2
1439,law enforcement agency,1,1
1440,law enforcement agency | position,1,2
1441,law firm | organization,1,2
1442,architectural landmark | school | school building,1,3
1443,architectural structure,1,1
