,typesOrg,number,numberOrg
134,open-access publisher | ottoman association | university,53,3
135,state university system,53,1
136,higher education institution directly under ministry of education of the people’s republic of china | public university | vice-ministerial level university,52,3
137,gymnasium,52,1
138,collegiate university | public research university | university in ontario,51,3
139,land-grant university | open-access publisher | public educational institution of the united states | public university,51,4
140,high school | school building,51,2
141,arboretum | open-access publisher | private not-for-profit educational institution | private university,51,4
142,national university | open-access publisher | research university | university system,50,4
143,public research university | university in quebec,50,2
144,educational institution | state university system,50,2
145,academic institution,50,1
146,land-grant university | public educational institution of the united states | university,49,3
147,academic publisher | organization | public university,49,3
148,open-access publisher | public educational institution | university,48,3
149,academic publisher | university,47,2
150,academic publisher | law school | public educational institution of the united states | university,46,4
151,law firm,46,1
152,faculty | graduate school | law school | school,46,4
153,central university,45,1
154,intergovernmental organization | international organization,45,2
155,catholic university | private not-for-profit educational institution,45,2
156,comprehensive university | national university | open-access publisher | research university,44,4
157,research institute | university,43,2
158,church college | private not-for-profit educational institution | university,43,3
159,educational institution | educational organization | nonprofit organization | regulatory college,42,4
160,civil service | government agency,42,2
161,government agency,41,1
162,collection | comprehensive university | public university,41,3
163,private not-for-profit educational institution | research institute | university,41,3
164,academic publisher | national university | university,40,3
165,public research university | public university,40,2
166,fraternal organization | social group,40,2
167,public research university | university in nova scotia,40,2
168,private not-for-profit educational institution,40,1
169,comprehensive university | organization | public research university | public university,39,4
170,open-access publisher | private university | public educational institution of the united states | public–private partnership | research university,39,5
171,organization | private not-for-profit educational institution | private university | production company,39,4
172,open-access publisher | public educational institution of the united states | public research university,39,3
173,association,38,1
174,academic publisher | national university,38,2
175,fraternity,38,1
176,land-grant university | neighborhood | public educational institution of the united states | public university | research university | sun grant institution,37,6
177,church college | private not-for-profit educational institution | private university,37,3
178,learned society,37,1
179,regional court,37,1
180,inns of court | university building,37,2
181,voluntary association,36,1
182,academic publisher | academy of sciences | national academy | quango,36,4
183,historically black college or university | public educational institution of the united states | university,35,3
184,higher education institution | public educational institution of the united states,35,2
185,historically black college or university | private not-for-profit educational institution | private university,35,3
186,academic publisher | private not-for-profit educational institution | university,35,3
187,campus university | comprehensive university | open-access publisher | public university,35,4
188,catholic school | private not-for-profit educational institution | university,35,3
189,open-access publisher | pontifical university | research university,35,3
190,business school,35,1
