,uriPer_x,uriPer_y,orgs,numberOrgs,uriOrgs,periods_x,BeginY_x,EndY_x,BeginY_y,EndY_y,periods_y
68003,http://www.wikidata.org/entity/Q4754823,http://www.wikidata.org/entity/Q934898,"University of Maryland Francis King Carey School of Law|University of Maryland, Baltimore",2,http://www.wikidata.org/entity/Q7895695|http://www.wikidata.org/entity/Q4119470,1925-1949,1967.0,1978.0,1969.0,1980.0,1950-1974
68140,http://www.wikidata.org/entity/Q4756236,http://www.wikidata.org/entity/Q6242151,Harvard Law School|College of the Holy Cross,2,http://www.wikidata.org/entity/Q49122|http://www.wikidata.org/entity/Q2620177,1900-1924,1938.0,1949.0,1942.0,1953.0,1900-1924
68163,http://www.wikidata.org/entity/Q4756236,http://www.wikidata.org/entity/Q7982383,Harvard Law School|College of the Holy Cross,2,http://www.wikidata.org/entity/Q49122|http://www.wikidata.org/entity/Q2620177,1900-1924,1938.0,1949.0,1938.0,1949.0,1900-1924
68228,http://www.wikidata.org/entity/Q4756650,http://www.wikidata.org/entity/Q5232105,King's College|Eton College,2,http://www.wikidata.org/entity/Q924289|http://www.wikidata.org/entity/Q192088,1925-1949,1960.0,1971.0,1963.0,1974.0,1925-1949
68258,http://www.wikidata.org/entity/Q4756746,http://www.wikidata.org/entity/Q55623009,Princeton University|Yale Law School,2,http://www.wikidata.org/entity/Q21578|http://www.wikidata.org/entity/Q1143289,1925-1949,1965.0,1976.0,1967.0,1978.0,1925-1949
68273,http://www.wikidata.org/entity/Q4756746,http://www.wikidata.org/entity/Q7291614,Princeton University|Yale Law School,2,http://www.wikidata.org/entity/Q21578|http://www.wikidata.org/entity/Q1143289,1925-1949,1965.0,1976.0,1964.0,1975.0,1925-1949
68281,http://www.wikidata.org/entity/Q4756746,http://www.wikidata.org/entity/Q7509104,Princeton University|Yale Law School,2,http://www.wikidata.org/entity/Q21578|http://www.wikidata.org/entity/Q1143289,1925-1949,1965.0,1976.0,1963.0,1974.0,1925-1949
68299,http://www.wikidata.org/entity/Q4757373,http://www.wikidata.org/entity/Q6776330,University of Virginia School of Law|Washington and Lee University,2,http://www.wikidata.org/entity/Q7896545|http://www.wikidata.org/entity/Q1785291,1825-1849,1867.0,1878.0,1869.0,1880.0,1850-1874
68300,http://www.wikidata.org/entity/Q4757373,http://www.wikidata.org/entity/Q7596622,University of Virginia School of Law|Washington and Lee University,2,http://www.wikidata.org/entity/Q7896545|http://www.wikidata.org/entity/Q1785291,1825-1849,1867.0,1878.0,1867.0,1878.0,1825-1849
68393,http://www.wikidata.org/entity/Q4757632,http://www.wikidata.org/entity/Q7610445,Wesleyan University|Harvard Law School,2,http://www.wikidata.org/entity/Q49167|http://www.wikidata.org/entity/Q49122,1925-1949,1963.0,1974.0,1957.0,1968.0,1925-1949
68437,http://www.wikidata.org/entity/Q4757733,http://www.wikidata.org/entity/Q6222240,King's College|Eton College,2,http://www.wikidata.org/entity/Q924289|http://www.wikidata.org/entity/Q192088,1925-1949,1948.0,1959.0,1950.0,1961.0,1925-1949
68444,http://www.wikidata.org/entity/Q4757791,http://www.wikidata.org/entity/Q7807362,Lincoln College|Winchester College,2,http://www.wikidata.org/entity/Q81153|http://www.wikidata.org/entity/Q1059517,1925-1949,1962.0,1973.0,1964.0,1975.0,1925-1949
